dataset,doc_index,topic,quality,correctly_cleaned,private,harmful,num_chars,num_sentences,text_preview
c4,29,forum post,4,yes,no,no,1170,10,"This topic contains 1 reply, has 2 voices. Last updated by Raam Dev 4 years, 11 months ago. I need a solution for a site I’m developing with S2 Members Pro, the issue is the clients run a chain of shops across the UK and a magazine that is subscribed from all over the world. The client wants its cli"
c4,30,blog post,2,partial,no,no,4141,44,"The ebook makes a speciality of geological historical past because the severe think about making a choice on the current biodiversity and landscapes of Amazonia. the various riding mechanisms for panorama evolution are explored through reviewing the historical past of the Amazonian Craton, the linke"
redpajama,0,legal/government,4,partial,no,no,15370,71,Integrated Annual Report of Grupa LOTOS S.A. 2014 Lotos.pl GRI CONTENT INDEX Report's Interactive Search and its Report Key data 2014 Letter from the Chairman of the Supervisory Board Letter from the President of the Board Integrated reporting Membership in organizations Ethics and corporate Approac
redpajama,1,blog post,5,yes,no,no,4359,37,Custom engineering and technical software with an expertise in RF/Microwave applications. Time gate widget multimoded analysis Z0 Renormalization Our Toolchain scikit-rf The Ecosystem Rapid Development with Python 810 Labs; Software Division develops custom engineering and technical software using t
redpajama,2,blog post,5,yes,no,no,1830,26,"DIY: EASY Leather Wrap Charm Bracelets It's DIY time! I don't remember the last time I did a diy post, so I thought I'd do one tonight. It's a super easy cord-wrap-charm-bracelet type jewelry. What I used: I've linked where you can get the supplies, but you can use whatever materials you want to cre"
redpajama,3,product page,4,yes,no,no,2882,17,"Home>Expertise We provide guidance & supports (knowledge & technical) to clients in performing valuation, such as sources of surplus required for year end valuation; as well as perform valuation calculations / validations for a particular external appointed actuary. We provide guidance & supports (k"
redpajama,4,academic/scientific,5,partial,no,no,1340,9,"What is Enterprise Risk Management AERMP partners US center for Risk Management COSO defines ERM as a process, effected by an entity board of directors, management and other personnel, applied in strategy-setting and across the enterprise, designed to identify potential events that may affect the en"
redpajama,5,blog post,5,yes,no,no,1821,10,"‹ a visit to Jumeirah Mosque • Travel for lunch : Mediterranean food in Tempe, Arizona › Monsoon season 2010/08/17 in America Nord, photos, writing | No comments I went down to the coffee shop near my house tonight, and noticed while walking over that the wind was picking up and the air smelled diff"
redpajama,6,blog post,6,yes,no,no,14144,133,"Home / Elections Midterm Elections: Can Dems Win House or Keep Senate? By Jeralyn, Section Elections Posted on Tue Nov 08, 2022 at 04:15:30 PM EST >p> Update 10:24 pm: Congrats to Colorado Governor Jared Polis who won a second term easily tonight. I'm glad to see that Sen. Michael Bennet also won re"
redpajama,7,blog post,5,yes,no,no,15926,173,Discourse 2 – Durood and Salaam Home/Mawaa'iz Volume One/Discourse 2 – Durood and Salaam الحمد لله و كفى و سلام على عباده الذين اصطفى ، أما بعد : It is mentioned in the hadeeth that Allah Ta’ala has commanded a group of angels to disperse on the earth and present the greetings and salutations recite
redpajama,8,blog post,5,yes,no,no,2671,24,"Fred Thompson wins in Staunton Fred Thompson was the winner of a straw poll taken at the Staunton Republican Committee on the evening of January 15. See the Staunton GOP Web site for detailed results. Sadly, it's a moot point, as Thompson withdrew from the Republican primary race yesterday. (The new"
redpajama,9,news article,4,partial,no,no,4210,31,"Producing the Contemporary City 24 May - 2 September 2007 About the IABR PowerNotes PowerNotes #01 Lectures and debates Vedran Mimica on the Biennale Strategies for a Better World Hyper Power: Keller Easterling on Dubai Elia Zenghelis: The ""immeuble-citÃ©"" a strategy for Architecture In her essay in"
redpajama,10,news article,7,yes,no,no,5043,23,"Sinking City: Long Beach Faces Deep Financial Troubles by Spencer Rumsey on April 12, 2012 From the sixth floor windows of Long Beach’s embattled city hall, the panorama is spectacular, especially on a cloudless, windless twilight evening when the Atlantic is turning deep purple as a freighter is ch"
redpajama,11,blog post,4,yes,no,no,2277,33,"Deep Frying Cock at Monsoon Cafe in Tokyo I know that teasing a non-native speaker about spelling is the lowest form of humor, but sometimes you just have to do it in the name of common decency. Particularly when it's a very successful restaurant chain like Monsoon Cafe. C'mon guys -- it would have "
redpajama,12,blog post,4,yes,no,no,3087,21,"A Day In The Life Of An Insurance Collision Appraiser Common Car Accident Appraisals Most Common Types of Car Accidents You’ll See as an Auto Appraiser Assessing damage from car accidents on a daily basis, an auto appraiser who’s new to the field will quickly see that some types of crashes and colli"
redpajama,13,forum post,5,partial,no,no,9734,85,"6.09 - Whoever Shot Poor George Oblique Stroke XR40? The Avengers International Fan Forum Forum Index -> Series 6 - Tara Rate 'Whoever Shot Poor George Oblique Stroke XR40?' Total Votes : 16 Location: MACS0647-JD Posted: Sat Sep 14, 2013 8:52 am Post subject: 6.09 - Whoever Shot Poor George Oblique "
redpajama,14,news article,6,yes,no,no,607,5,"Cheesecake Energy Cheesecake Energy is developing advanced thermal and compressed air energy systems to store energy from intermittent renewables, turning them into reliable power on-demand. Cheesecake Energy has patent-pending technology that stores compressed air and heat cost-effectively. With a "
redpajama,15,blog post,5,yes,no,no,2041,20,"Coming up: a radio discussion of “Killing for Love” March 2, 2018 Bill Sizemore 2 Comments I’ll be going on the radio to talk about the upcoming Norfolk screening of Killing for Love, the award-winning documentary about the Haysom/Soering murder case. Listen for my discussion with Cathy Lewis, host "
redpajama,16,blog post,6,yes,no,no,9704,119,"Egypt, 1/11/04 The 8th journal entry from my trip to Egypt in 2004. The 9th was not so much fun -- I was sick all day and did little more than nap in our room, eat a couple of bananas, and finally one last amazing Siwan outing. We walked to the hill of the dead and looked at the beautiful sights. We"
redpajama,17,error/stub,1,no,no,no,204,2,"Open the blackhole.xerces.com home page, then try to open another page. The blackhole.xerces.com forum technical staff have been notified of the error, though you may contact them if the problem persists."
redpajama,18,academic/scientific,5,yes,yes,no,3856,28,"UCL CBT March Research Newsletter By Nikhil VadgamaMarch 14, 2020Research Newsletters, updates Call for Papers – 2020 Crypto Valley Conference Dr. Paolo Tasca, the Executive Director of UCL CBT, will be chairing the “Economic and Financial Track” of the 2020 Crypto Valley Conference, to be held on 1"
redpajama,19,news article,4,yes,yes,no,1880,17,Committee / Managers Hurling Teams Individual Players Total Honours Club Raffle The club raffle for 2 All-Ireland Football Final tickets and €300 took place this evening in Minnies. Breda Power was the lucky winner. The ticket was sold by Pa McGovern. Thanks to all who bought and sold tickets. Your 
redpajama,20,blog post,4,partial,no,no,691,9,Merry Christmas to our readers! Merry Christmas and Happy Holidays to all our users. Thank you for using our site it always makes us happy to hear from you during these festive days. Thank you Jean for your kind words we will continue our efforts next year. Here is what Jean said – Your site has the
redpajama,21,blog post,4,yes,no,no,230,1,"My idea of Minoan Temple Dance Thanks to Full Circle News there was a time in history, a long time ago, when the bounce and sway of a woman’s hips was considered so beautiful that they set it to music and made a dance out of it..."
redpajama,22,blog post,5,yes,no,no,2543,20,"A Cheaper, Greener Alternative to Do-A-Dot Markers I don't know if you keep up with what's new in the crafty world, but Do-a-Dot Markers are a thing, especially amongst the under ten set. They come in an array of colors: And there are even Do-a-Dot activities that your kid can complete with the mark"
redpajama,23,product page,3,partial,no,no,1259,5,"Home/Industrial Applications Industrial Applicationsalex.ivanenko2018-08-07T13:32:15+01:00 Industrial applications stand out from the other software solutions because of the following distinct features they possess: closeness to hardware and embedded software; intensive usage, often 24/7, with a req"
redpajama,24,blog post,5,yes,no,no,1178,11,"New Bike - Soon Monday, March 23, 2009, 22:03 - personal I look to upgrade from my $125 Sears bike that I bought in 1996. It has served me well and I will keep it as a backup. I test-rode a Trek 3900 the other day and it was nice and I may buy one. Other models I am considering are the Cannondale F9"
redpajama,25,blog post,5,yes,no,no,2509,24,"Burke Behind-the-Scenes, Training Future Museologists Posted by: Nicole Robert, Communications If you’ve been reading this blog, you know that there are many exciting things that go on at the Burke, often behind the scenes. One of the great programs housed here is the Museology Masters of Arts progr"
redpajama,26,spam/SEO,2,partial,no,yes,8344,62,"Choosing the proper colours, layout, fonts and shapes are key to making sure your soccer emblem rises above opponents. Cash out option has now turn into an everyday function for most online bookmakers, permitting bettors extra control over their wagers. It can be used from the second you place your "
redpajama,27,academic/scientific,5,yes,no,no,3557,22,"You are here: Home / CBDMH Blog / Challenges of Interdisciplinary Research / Madness or sadness? Local concepts of mental illness in four conflict-affected... Madness or sadness? Local concepts of mental illness in four conflict-affected African communities (Abstract) February 21, 2013 /in Challenge"
redpajama,28,academic/scientific,6,partial,no,no,2083,25,"CCCC > Archive > 2008, Volume 73 > Issue 4 > p. 558 Cited by 6 articles Collect. Czech. Chem. Commun. 2008, 73, 558-574 Contact Value Formulae for the Density Profiles of the Electric Double Layer Douglas J. Hendersona and Lutful B. Bhuiyanb,* a Department of Chemistry and Biochemistry, Brigham Youn"
redpajama,29,blog post,7,yes,no,no,3193,42,"Why do Cyclists Shave their Legs? I was sitting in a meeting yesterday, with the bottom of my pants riding up above my ankle exposing my bare leg, when a woman (and friend) I work with said, ""Do you shave your legs?"". To that question my first reaction was one of embarrassment. My first words were, "
redpajama,30,news article,4,partial,no,no,896,4,"Tag archives for egg plants Field, Open Days at FUNAAB The Department of Pure and Applied Botany (PAB), College of Biosciences (COLBIOS), has held its first Field Day workshop tagged, “Growing Greens: Essential for Healthy Living”, to sensitise members of the University community and the general pub"
